Date,Close,Stock
2019-01-02,62.02399826049805,TSLA
2019-01-03,60.071998596191406,TSLA
2019-01-04,63.53799819946289,TSLA
2019-01-07,66.99199676513672,TSLA
2019-01-08,67.06999969482422,TSLA
2019-01-09,67.70600128173828,TSLA
2019-01-10,68.99400329589844,TSLA
2019-01-11,69.4520034790039,TSLA
2019-01-14,66.87999725341797,TSLA
2019-01-15,68.88600158691406,TSLA
2019-01-16,69.20999908447266,TSLA
2019-01-17,69.46199798583984,TSLA
2019-01-18,60.45199966430664,TSLA
2019-01-22,59.784000396728516,TSLA
2019-01-23,57.518001556396484,TSLA
2019-01-24,58.301998138427734,TSLA
2019-01-25,59.40800094604492,TSLA
2019-01-28,59.2760009765625,TSLA
2019-01-29,59.492000579833984,TSLA
2019-01-30,61.75400161743164,TSLA
2019-01-31,61.40399932861328,TSLA
2019-02-01,62.44200134277344,TSLA
2019-02-04,62.577999114990234,TSLA
2019-02-05,64.2699966430664,TSLA
2019-02-06,63.444000244140625,TSLA
2019-02-07,61.50199890136719,TSLA
2019-02-08,61.15999984741211,TSLA
2019-02-11,62.56800079345703,TSLA
2019-02-12,62.36199951171875,TSLA
2019-02-13,61.63399887084961,TSLA
2019-02-14,60.75400161743164,TSLA
2019-02-15,61.57600021362305,TSLA
2019-02-19,61.12799835205078,TSLA
2019-02-20,60.512001037597656,TSLA
2019-02-21,58.24599838256836,TSLA
2019-02-22,58.94200134277344,TSLA
2019-02-25,59.75400161743164,TSLA
2019-02-26,59.571998596191406,TSLA
2019-02-27,62.948001861572266,TSLA
2019-02-28,63.97600173950195,TSLA
2019-03-01,58.95800018310547,TSLA
2019-03-04,57.071998596191406,TSLA
2019-03-05,55.30799865722656,TSLA
2019-03-06,55.24800109863281,TSLA
2019-03-07,55.31800079345703,TSLA
2019-03-08,56.827999114990234,TSLA
2019-03-11,58.183998107910156,TSLA
2019-03-12,56.672000885009766,TSLA
2019-03-13,57.79199981689453,TSLA
2019-03-14,57.992000579833984,TSLA
2019-03-15,55.08599853515625,TSLA
2019-03-18,53.89799880981445,TSLA
2019-03-19,53.49399948120117,TSLA
2019-03-20,54.720001220703125,TSLA
2019-03-21,54.80400085449219,TSLA
2019-03-22,52.90599822998047,TSLA
2019-03-25,52.08399963378906,TSLA
2019-03-26,53.55400085449219,TSLA
2019-03-27,54.965999603271484,TSLA
2019-03-28,55.7239990234375,TSLA
2019-03-29,55.97200012207031,TSLA
2019-04-01,57.83599853515625,TSLA
2019-04-02,57.17599868774414,TSLA
2019-04-03,58.36199951171875,TSLA
2019-04-04,53.555999755859375,TSLA
2019-04-05,54.992000579833984,TSLA
2019-04-08,54.63999938964844,TSLA
2019-04-09,54.46200180053711,TSLA
2019-04-10,55.21200180053711,TSLA
2019-04-11,53.683998107910156,TSLA
2019-04-12,53.540000915527344,TSLA
2019-04-15,53.2760009765625,TSLA
2019-04-16,54.672000885009766,TSLA
2019-04-17,54.24599838256836,TSLA
2019-04-18,54.652000427246094,TSLA
2019-04-22,52.54999923706055,TSLA
2019-04-23,52.779998779296875,TSLA
2019-04-24,51.731998443603516,TSLA
2019-04-25,49.5260009765625,TSLA
2019-04-26,47.02799987792969,TSLA
2019-04-29,48.29399871826172,TSLA
2019-04-30,47.737998962402344,TSLA
2019-05-01,46.801998138427734,TSLA
2019-05-02,48.81999969482422,TSLA
2019-05-03,51.00600051879883,TSLA
2019-05-06,51.06800079345703,TSLA
2019-05-07,49.4119987487793,TSLA
2019-05-08,48.96799850463867,TSLA
2019-05-09,48.395999908447266,TSLA
2019-05-10,47.90399932861328,TSLA
2019-05-13,45.402000427246094,TSLA
2019-05-14,46.46200180053711,TSLA
2019-05-15,46.38999938964844,TSLA
2019-05-16,45.66600036621094,TSLA
2019-05-17,42.20600128173828,TSLA
2019-05-20,41.071998596191406,TSLA
2019-05-21,41.01599884033203,TSLA
2019-05-22,38.54600143432617,TSLA
2019-05-23,39.097999572753906,TSLA
2019-05-24,38.125999450683594,TSLA
2019-05-28,37.7400016784668,TSLA
2019-05-29,37.97200012207031,TSLA
2019-05-30,37.64400100708008,TSLA
2019-05-31,37.03200149536133,TSLA
2019-06-03,35.79399871826172,TSLA
2019-06-04,38.720001220703125,TSLA
2019-06-05,39.31800079345703,TSLA
2019-06-06,41.189998626708984,TSLA
2019-06-07,40.900001525878906,TSLA
2019-06-10,42.57600021362305,TSLA
2019-06-11,43.41999816894531,TSLA
2019-06-12,41.85200119018555,TSLA
2019-06-13,42.78200149536133,TSLA
2019-06-14,42.98400115966797,TSLA
2019-06-17,45.00600051879883,TSLA
2019-06-18,44.948001861572266,TSLA
2019-06-19,45.2859992980957,TSLA
2019-06-20,43.92399978637695,TSLA
2019-06-21,44.37200164794922,TSLA
2019-06-24,44.72800064086914,TSLA
2019-06-25,43.95199966430664,TSLA
2019-06-26,43.854000091552734,TSLA
2019-06-27,44.56800079345703,TSLA
2019-06-28,44.69200134277344,TSLA
2019-07-01,45.433998107910156,TSLA
2019-07-02,44.90999984741211,TSLA
2019-07-03,46.97999954223633,TSLA
2019-07-05,46.619998931884766,TSLA
2019-07-08,46.06800079345703,TSLA
2019-07-09,46.012001037597656,TSLA
2019-07-10,47.784000396728516,TSLA
2019-07-11,47.720001220703125,TSLA
2019-07-12,49.01599884033203,TSLA
2019-07-15,50.70000076293945,TSLA
2019-07-16,50.47600173950195,TSLA
2019-07-17,50.97200012207031,TSLA
2019-07-18,50.70800018310547,TSLA
2019-07-19,51.63600158691406,TSLA
2019-07-22,51.13600158691406,TSLA
2019-07-23,52.034000396728516,TSLA
2019-07-24,52.97600173950195,TSLA
2019-07-25,45.763999938964844,TSLA
2019-07-26,45.608001708984375,TSLA
2019-07-29,47.15399932861328,TSLA
2019-07-30,48.45199966430664,TSLA
2019-07-31,48.321998596191406,TSLA
2019-08-01,46.77000045776367,TSLA
2019-08-02,46.86800003051758,TSLA
2019-08-05,45.66400146484375,TSLA
2019-08-06,46.150001525878906,TSLA
2019-08-07,46.683998107910156,TSLA
2019-08-08,47.65999984741211,TSLA
2019-08-09,47.00199890136719,TSLA
2019-08-12,45.801998138427734,TSLA
2019-08-13,47.0,TSLA
2019-08-14,43.92399978637695,TSLA
2019-08-15,43.12799835205078,TSLA
2019-08-16,43.987998962402344,TSLA
2019-08-19,45.36600112915039,TSLA
2019-08-20,45.172000885009766,TSLA
2019-08-21,44.16600036621094,TSLA
2019-08-22,44.43000030517578,TSLA
2019-08-23,42.279998779296875,TSLA
2019-08-26,43.0,TSLA
2019-08-27,42.816001892089844,TSLA
2019-08-28,43.11800003051758,TSLA
2019-08-29,44.34199905395508,TSLA
2019-08-30,45.12200164794922,TSLA
2019-09-03,45.00199890136719,TSLA
2019-09-04,44.13600158691406,TSLA
2019-09-05,45.91600036621094,TSLA
2019-09-06,45.4900016784668,TSLA
2019-09-09,46.358001708984375,TSLA
2019-09-10,47.108001708984375,TSLA
2019-09-11,49.41999816894531,TSLA
2019-09-12,49.17399978637695,TSLA
2019-09-13,49.040000915527344,TSLA
2019-09-16,48.5620002746582,TSLA
2019-09-17,48.95800018310547,TSLA
2019-09-18,48.698001861572266,TSLA
